size,try_no,vector*vector,vector*matrix
1,0,0.000007,0.000007
1,1,0.000001,0.000001
1,2,0.000000,0.000000
1,3,0.000001,0.000001
1,4,0.000000,0.000000
1,5,0.000000,0.000000
1,6,0.000001,0.000000
1,7,0.000001,0.000001
1,8,0.000000,0.000001
1,9,0.000000,0.000000
101,0,0.000001,0.000066
101,1,0.000001,0.000039
101,2,0.000001,0.000051
101,3,0.000001,0.000039
101,4,0.000001,0.000039
101,5,0.000000,0.000038
101,6,0.000001,0.000039
101,7,0.000001,0.000038
101,8,0.000001,0.000038
101,9,0.000001,0.000038
201,0,0.000002,0.000339
201,1,0.000001,0.000223
201,2,0.000001,0.000169
201,3,0.000002,0.000154
201,4,0.000002,0.000154
201,5,0.000001,0.000210
201,6,0.000002,0.000222
201,7,0.000001,0.000169
201,8,0.000001,0.000231
201,9,0.000001,0.000154
301,0,0.000001,0.000657
301,1,0.000002,0.000692
301,2,0.000002,0.000348
301,3,0.000001,0.000498
301,4,0.000001,0.000387
301,5,0.000003,0.000385
301,6,0.000002,0.000373
301,7,0.000002,0.000475
301,8,0.000003,0.000379
301,9,0.000002,0.000393
401,0,0.000002,0.001159
401,1,0.000002,0.001008
401,2,0.000003,0.000836
401,3,0.000003,0.001284
401,4,0.000005,0.000832
401,5,0.000002,0.000677
401,6,0.000002,0.000865
401,7,0.000004,0.000941
401,8,0.000002,0.001427
401,9,0.000004,0.001224
501,0,0.000005,0.002686
501,1,0.000004,0.001786
501,2,0.000004,0.001145
501,3,0.000003,0.001069
501,4,0.000003,0.001241
501,5,0.000003,0.001096
501,6,0.000003,0.001610
501,7,0.000005,0.002435
501,8,0.000009,0.001679
501,9,0.000006,0.001804
601,0,0.000006,0.003592
601,1,0.000004,0.002127
601,2,0.000004,0.001731
601,3,0.000003,0.001623
601,4,0.000004,0.001543
601,5,0.000003,0.001693
601,6,0.000004,0.002594
601,7,0.000005,0.002463
601,8,0.000004,0.001783
601,9,0.000004,0.001719
701,0,0.000005,0.004140
701,1,0.000005,0.003296
701,2,0.000005,0.002582
701,3,0.000004,0.002285
701,4,0.000004,0.002189
701,5,0.000004,0.002298
701,6,0.000004,0.002267
701,7,0.000003,0.002765
701,8,0.000006,0.002803
701,9,0.000005,0.002528
