Size,Mode,Time
101,1,0.007386
101,2,0.005286
101,3,0.001196
101,1,0.005987
101,2,0.005192
101,3,0.000952
101,1,0.006261
101,2,0.004752
101,3,0.000879
101,1,0.005069
101,2,0.005011
101,3,0.000852
101,1,0.00481
101,2,0.004939
101,3,0.000916
101,1,0.004937
101,2,0.004732
101,3,0.00081
101,1,0.004638
101,2,0.004797
101,3,0.000835
101,1,0.004721
101,2,0.006676
101,3,0.001047
101,1,0.004993
101,2,0.005084
101,3,0.001487
101,1,0.006293
101,2,0.004863
101,3,0.000901
201,1,0.042992
201,2,0.042263
201,3,0.006479
201,1,0.042082
201,2,0.042041
201,3,0.006387
201,1,0.042242
201,2,0.042219
201,3,0.006605
201,1,0.042782
201,2,0.042529
201,3,0.006567
201,1,0.041815
201,2,0.051838
201,3,0.006753
201,1,0.041639
201,2,0.042555
201,3,0.006604
201,1,0.041892
201,2,0.042371
201,3,0.006513
201,1,0.042281
201,2,0.042043
201,3,0.006638
201,1,0.042984
201,2,0.043282
201,3,0.01381
201,1,0.0428
201,2,0.043161
201,3,0.006581
301,1,0.154542
301,2,0.152975
301,3,0.027084
301,1,0.149115
301,2,0.164027
301,3,0.021746
301,1,0.165053
301,2,0.165117
301,3,0.021528
301,1,0.153
301,2,0.148138
301,3,0.021277
301,1,0.149736
301,2,0.15831
301,3,0.021006
301,1,0.155862
301,2,0.15118
301,3,0.021267
301,1,0.156096
301,2,0.152155
301,3,0.021108
301,1,0.149694
301,2,0.15415
301,3,0.024639
301,1,0.166082
301,2,0.156585
301,3,0.022618
301,1,0.159654
301,2,0.150127
301,3,0.025016
401,1,0.383336
401,2,0.522675
401,3,0.051881
401,1,0.423015
401,2,0.408282
401,3,0.06932
401,1,0.503369
401,2,0.492908
401,3,0.05384
401,1,0.447777
401,2,0.3737
401,3,0.049997
401,1,0.396266
401,2,0.390518
401,3,0.05419
401,1,0.388885
401,2,0.381448
401,3,0.054286
401,1,0.425186
401,2,0.448937
401,3,0.050357
401,1,0.45086
401,2,0.42416
401,3,0.051335
401,1,0.436555
401,2,0.486391
401,3,0.05056
401,1,0.410952
401,2,0.458724
401,3,0.051069
501,1,0.965751
501,2,1.09588
501,3,0.126734
501,1,1.07792
501,2,1.04175
501,3,0.120536
501,1,1.0853
501,2,0.968339
501,3,0.112777
501,1,0.941389
501,2,1.11666
501,3,0.096632
501,1,0.91269
501,2,0.991073
501,3,0.101838
501,1,1.02078
501,2,1.13704
501,3,0.119475
501,1,1.2236
501,2,1.0019
501,3,0.131491
501,1,1.14521
501,2,1.42288
501,3,0.13295
501,1,1.20682
501,2,1.31144
501,3,0.175809
501,1,1.38964
501,2,1.22079
501,3,0.101837
601,1,2.23124
601,2,2.24009
601,3,0.175383
601,1,1.99832
601,2,1.88424
601,3,0.189558
601,1,1.82578
601,2,1.7932
601,3,0.180923
601,1,1.71433
601,2,1.86898
601,3,0.184474
601,1,1.96697
601,2,1.70484
601,3,0.186381
601,1,1.70594
601,2,1.77082
601,3,0.186259
601,1,1.60186
601,2,1.5519
601,3,0.181933
601,1,1.71801
601,2,1.61669
601,3,0.184255
601,1,1.5683
601,2,1.66136
601,3,0.165904
601,1,1.63421
601,2,1.80423
601,3,0.191105
701,1,3.20451
701,2,3.30251
701,3,0.327894
701,1,3.25471
701,2,4.07373
701,3,0.342683
701,1,4.13267
701,2,3.87119
701,3,0.540258
701,1,3.91412
701,2,3.412
701,3,0.325238
701,1,3.7996
701,2,4.52007
701,3,0.592298
701,1,3.83874
701,2,3.6505
701,3,0.477897
701,1,4.02056
701,2,4.10667
701,3,0.615641
701,1,3.72691
701,2,3.44442
701,3,0.351481
701,1,3.49369
701,2,3.61211
701,3,0.384951
701,1,4.0518
701,2,3.85984
701,3,0.538121
801,1,5.46216
801,2,5.56453
801,3,0.703153
801,1,5.5573
801,2,5.81068
801,3,0.675334
801,1,5.32862
801,2,5.45538
801,3,0.504906
801,1,5.2046
801,2,5.17518
801,3,0.485053
801,1,5.15602
801,2,5.22294
801,3,0.449512
801,1,4.95323
801,2,5.29589
801,3,0.543932
801,1,5.11541
801,2,5.18813
801,3,0.473079
801,1,5.30899
801,2,5.74383
801,3,0.612076
801,1,6.02305
801,2,5.64795
801,3,0.496582
801,1,5.28545
801,2,5.43019
801,3,0.666247
901,1,8.39235
901,2,8.79853
901,3,1.03689
901,1,9.49111
901,2,8.62965
901,3,1.26482
901,1,7.94744
901,2,7.88563
901,3,0.760576
901,1,7.73276
901,2,8.88325
901,3,0.773484
901,1,8.69907
901,2,8.93359
901,3,1.06231
901,1,10.3272
901,2,10.4231
901,3,1.47643
901,1,9.51688
901,2,8.94675
901,3,1.12178
901,1,8.30024
901,2,8.32624
901,3,1.27162
901,1,8.33312
901,2,8.34448
901,3,0.83381
901,1,10.156
901,2,8.53455
901,3,1.33971
1001,1,16.075
1001,2,16.8929
1001,3,1.73231
1001,1,13.8151
1001,2,15.0096
1001,3,1.61166
1001,1,14.9337
1001,2,16.2035
1001,3,2.03859
1001,1,15.8891
1001,2,16.8417
1001,3,1.47546
1001,1,15.5024
1001,2,14.2656
1001,3,2.43292
1001,1,16.4234
1001,2,16.4568
1001,3,1.17642
1001,1,13.3765
1001,2,16.0408
1001,3,1.19585
1001,1,13.6005
1001,2,14.6552
1001,3,1.48889
1001,1,13.9092
1001,2,15.5664
1001,3,1.49148
1001,1,14.7675
1001,2,14.5166
1001,3,1.29699
